,Vendor,Invoice ID,Order ID,ID,Earning(BDT),Total(BDT),Status,Mail,Website,Paid,Mailed,Reduced
94,Tread Vibe,Reduced,11560083,GO#1538,490.0,10194.5,Paid,Mailed,Reduced,Paid,Mailed,Reduced
95,Tread Vibe,Reduced,11559282,GO#1522,490.0,,,,,Paid,Mailed,Reduced
96,Tread Vibe,Reduced,11558962,GO#1514,493.5,,,,,Paid,Mailed,Reduced
97,Tread Vibe,Reduced,11554041,GO#1473,493.5,,,,,Paid,Mailed,Reduced
98,Tread Vibe,Reduced,11554041,GO#1473,493.5,,,,,Paid,Mailed,Reduced
99,Tread Vibe,Reduced,11554041,GO#1473,493.5,,,,,Paid,Mailed,Reduced
100,Tread Vibe,Reduced,11554035,GO#1472,493.5,,,,,Paid,Mailed,Reduced
101,Tread Vibe,Reduced,11551891,GO#1462,493.5,,,,,Paid,Mailed,Reduced
102,Tread Vibe,Reduced,11551433,GO#1459,493.5,,,,,Paid,Mailed,Reduced
103,Tread Vibe,Reduced,11551263,GO#1456,493.5,,,,,Paid,Mailed,Reduced
104,Tread Vibe,Reduced,11544405,GO#1415,493.5,,,,,Paid,Mailed,Reduced
105,Tread Vibe,Reduced,11544399,GO#1414,493.5,,,,,Paid,Mailed,Reduced
106,Tread Vibe,Reduced,11540651,GO#1396,493.5,,,,,Paid,Mailed,Reduced
107,Tread Vibe,Reduced,11537333,GO#1366,493.5,,,,,Paid,Mailed,Reduced
108,Tread Vibe,Reduced,11521852,GO#1249,703.5,,,,,Paid,Mailed,Reduced
109,Tread Vibe,Reduced,11521533,GO#1245,493.5,,,,,Paid,Mailed,Reduced
110,Tread Vibe,Reduced,11512425,GO#1207,703.5,,,,,Paid,Mailed,Reduced
111,Tread Vibe,Reduced,11509202,GO#1192,703.5,,,,,Paid,Mailed,Reduced
112,Tread Vibe,Reduced,11498757,GO#1142,493.5,,,,,Paid,Mailed,Reduced
113,Tread Vibe,Reduced,11481764,GO#1051,703.5,,,,,Paid,Mailed,Reduced
114,Tread Vibe,Reduced,11480956,GO#1046,703.5,,,,,Paid,Mailed,Reduced
115,Tread Vibe,Reduced,Reverse,,-1212.0,,,,,Paid,Mailed,Reduced
116,Sultanentro,Reduced,11511366,GO#1202,1922.25,32538.0,Paid,Mailed,Reduced,Paid,Mailed,Reduced
117,Sultanentro,Reduced,11515114,GO#1214,1700.25,,,,,Paid,Mailed,Reduced
118,Sultanentro,Reduced,11515511,GO#1217,1869.75,,,,,Paid,Mailed,Reduced
119,Sultanentro,Reduced,11517211,GO#1224,1922.25,,,,,Paid,Mailed,Reduced
120,Sultanentro,Reduced,11518048,GO#1226,1922.25,,,,,Paid,Mailed,Reduced
121,Sultanentro,Reduced,11518785,GO#1229,1922.25,,,,,Paid,Mailed,Reduced
122,Sultanentro,Reduced,11519979,GO#1240,1572.75,,,,,Paid,Mailed,Reduced
123,Sultanentro,Reduced,11522717,GO#1253,1572.75,,,,,Paid,Mailed,Reduced
124,Sultanentro,Reduced,11527535,GO#1291,3407.25,,,,,Paid,Mailed,Reduced
125,Sultanentro,Reduced,11535566,GO#1355,2132.25,,,,,Paid,Mailed,Reduced
126,Sultanentro,Reduced,11535617,GO#1356,1719.75,,,,,Paid,Mailed,Reduced
127,Sultanentro,Reduced,11544530,GO#1416,3407.25,,,,,Paid,Mailed,Reduced
128,Sultanentro,Reduced,11544530,GO#1416,1914.75,,,,,Paid,Mailed,Reduced
129,Sultanentro,Reduced,11547003,GO#1430,1719.75,,,,,Paid,Mailed,Reduced
130,Sultanentro,Reduced,11549441,GO#1439,1922.25,,,,,Paid,Mailed,Reduced
131,Sultanentro,Reduced,11560057,GO#1537,1910.25,,,,,Paid,Mailed,Reduced
132,Gallery of Colors,Not Reduced,11497630,GO#1127,1322.25,36084.75,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
133,Gallery of Colors,Not Reduced,11498017,GO#1129,1691.25,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
134,Gallery of Colors,Not Reduced,11498471,GO#1136,1691.25,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
135,Gallery of Colors,Not Reduced,11498492,GO#1137,1247.25,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
136,Gallery of Colors,Not Reduced,11498853,GO#1143,1717.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
137,Gallery of Colors,Not Reduced,11499171,GO#1148,1287.75,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
138,Gallery of Colors,Not Reduced,11501331,GO#1156,1717.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
139,Gallery of Colors,Not Reduced,11503670,GO#1167,1717.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
140,Gallery of Colors,Not Reduced,11503741,GO#1170,1717.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
141,Gallery of Colors,Not Reduced,11509320,GO#1194,1717.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
142,Gallery of Colors,Not Reduced,11511891,GO#1206,1717.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
143,Gallery of Colors,Not Reduced,11521911,GO#1251,1247.25,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
144,Gallery of Colors,Not Reduced,11523732,GO#1259,1287.75,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
145,Gallery of Colors,Not Reduced,11524497,GO#1271,1717.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
146,Gallery of Colors,Not Reduced,11528837,GO#1306,1287.75,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
147,Gallery of Colors,Not Reduced,11529080,GO#1307,1419.75,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
148,Gallery of Colors,Not Reduced,11535345,GO#1350,1462.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
149,Gallery of Colors,Not Reduced,11539087,GO#1384,1691.25,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
150,Gallery of Colors,Not Reduced,11541174,GO#1397,1247.25,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
151,Gallery of Colors,Not Reduced,11543957,GO#1407,1419.75,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
152,Gallery of Colors,Not Reduced,11544344,GO#1413,1462.5,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
153,Gallery of Colors,Not Reduced,11545287,GO#1420,1287.75,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
154,Gallery of Colors,Not Reduced,11549212,GO#1435,1691.25,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
155,Gallery of Colors,Not Reduced,11549518,GO#1440,1317.75,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
156,Ahlan,Reduced,11561300,GO#1546,880.0,4498.0,Paid,Mailed,Reduced,Paid,Mailed,Reduced
157,Ahlan,Reduced,11563793,GO#1565,952.0,,,,,Paid,Mailed,Reduced
158,Ahlan,Reduced,11563937,GO#1566,1084.0,,,,,Paid,Mailed,Reduced
159,Ahlan,Reduced,11564550,GO#1575,952.0,,,,,Paid,Mailed,Reduced
160,Ahlan,Reduced,11566654,GO#1597,952.0,,,,,Paid,Mailed,Reduced
161,Ahlan,Reduced,11566654,GO#1597,880.0,,,,,Paid,Mailed,Reduced
162,Ahlan,Reduced,Reverse,,-1202.0,,,,,Paid,Mailed,Reduced
163,Footco,Reduced,11554040,GO#1473,483.0,966.0,Paid,Mailed,Reduced,Paid,Mailed,Reduced
164,Footco,Reduced,11554040,GO#1473,483.0,,,,,Paid,Mailed,Reduced
165,Footco,Reduced,11554040,GO#1473,483.0,,,,,Paid,Mailed,Reduced
166,Footco,Reduced,Reverse,,-483.0,,,,,Paid,Mailed,Reduced
167,Pa - Your Shoe,Reduced,11496295,GO#1122,1162.5,22803.5,Paid,Mailed,Reduced,Paid,Mailed,Reduced
168,Pa - Your Shoe,Reduced,11522044,GO#1252,1162.5,,,,,Paid,Mailed,Reduced
169,Pa - Your Shoe,Reduced,11523558,GO#1255,1485.0,,,,,Paid,Mailed,Reduced
170,Pa - Your Shoe,Reduced,11523710,GO#1258,1162.5,,,,,Paid,Mailed,Reduced
171,Pa - Your Shoe,Reduced,11523927,GO#1262,975.0,,,,,Paid,Mailed,Reduced
172,Pa - Your Shoe,Reduced,11523927,GO#1262,975.0,,,,,Paid,Mailed,Reduced
173,Pa - Your Shoe,Reduced,11525912,GO#1286,1012.5,,,,,Paid,Mailed,Reduced
174,Pa - Your Shoe,Reduced,11526195,GO#1290,975.0,,,,,Paid,Mailed,Reduced
175,Pa - Your Shoe,Reduced,11528575,GO#1300,975.0,,,,,Paid,Mailed,Reduced
176,Pa - Your Shoe,Reduced,11529386,GO#1316,975.0,,,,,Paid,Mailed,Reduced
177,Pa - Your Shoe,Reduced,11530309,GO#1323,1087.5,,,,,Paid,Mailed,Reduced
178,Pa - Your Shoe,Reduced,11530309,GO#1323,1335.0,,,,,Paid,Mailed,Reduced
179,Pa - Your Shoe,Reduced,11530309,GO#1323,1050.0,,,,,Paid,Mailed,Reduced
