,Vendor,Invoice ID,Order ID,ID,Earning(BDT),Total(BDT),Status,Mail,Website,Paid,Mailed,Reduced
275,Zuqo,Not Reduced,11569755,GO#1623,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
276,Zuqo,Not Reduced,11571642,GO#1642,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
277,Zuqo,Not Reduced,11572667,GO#1654,800.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
278,Zuqo,Not Reduced,11577609,GO#1685,1040.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
279,Zuqo,Not Reduced,11580846,GO#1717,960.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
280,Saraz Collection,Not Reduced,11559510,GO#1532,3202.4,24286.0,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
281,Saraz Collection,Not Reduced,11559922,GO#1536,4802.4,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
282,Saraz Collection,Not Reduced,11564078,GO#1570,5208.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
283,Saraz Collection,Not Reduced,11567339,GO#1609,2810.4,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
284,Saraz Collection,Not Reduced,11575081,GO#1657,2410.4,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
285,Saraz Collection,Not Reduced,11575561,GO#1668,6002.4,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
286,Saraz Collection,Not Reduced,Reverse,,,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
287,Saraz Collection,Not Reduced,Out of Stock,GO#2283,-150.0,,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
288,Ahir Fashion,Not Reduced,,GO#1723,1592.0,1592.0,Unpaid,Notmailed,Not Reduced,Unpaid,Notmailed,Not Reduced
